card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP01-009,C,0,天音かなた,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hbp01/10019,,0,
hBP01-009,P,1,天音かなた(パラレル/エントリーPRパック vol.1),420,20,420 円,20 円,https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10001,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10001,0,
hBP01-011,C,0,天音かなた,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hbp01/10021,,0,
hBP01-013,P,1,天音かなた(パラレル/2ndアルバム数量限定版),14800,5000,"14,800 円","5,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10106,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10106,0,
hBP01-013,R,0,天音かなた,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hbp01/10023,,0,
hBP01-108,P,1,じゃあ敵だね(パラレル/WGP2025 in 東京),4980,3500,"4,980 円","3,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10076,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10076,0,
hBP01-108,U,0,じゃあ敵だね,220,50,220 円,50 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10128,https://yuyu-tei.jp/buy/hocg/card/hbp01/10128,0,
hBP01-116,C,0,うぱお,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hbp01/10136,,0,
hBP02-084,S,1,みっころね24(パラレル),2480,1000,"2,480 円","1,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10169,https://yuyu-tei.jp/buy/hocg/card/hbp02/10169,0,
hBP02-084,SEC,1,みっころね24(パラレル/箔押し),118000,50000,"118,000 円","50,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10170,https://yuyu-tei.jp/buy/hocg/card/hbp02/10170,0,
hBP02-084,SR,1,みっころね24(パラレル/hBP04),6980,3500,"6,980 円","3,500 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10217,https://yuyu-tei.jp/buy/hocg/card/hbp04/10217,0,
