card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP01-001,OSR,0,天音かなた,2480,900,"2,480 円",900 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10001,https://yuyu-tei.jp/buy/hocg/card/hbp01/10001,0,
hBP01-001,OUR,1,天音かなた(パラレル),34800,16000,"34,800 円","16,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp01/10002,https://yuyu-tei.jp/buy/hocg/card/hbp01/10002,0,
hBP01-002,OSR,0,七詩ムメイ,280,5,280 円,5 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10003,https://yuyu-tei.jp/buy/hocg/card/hbp01/10003,0,
hBP01-002,OUR,1,七詩ムメイ(パラレル),17800,9000,"17,800 円","9,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp01/10004,https://yuyu-tei.jp/buy/hocg/card/hbp01/10004,0,
hBP01-003,OSR,0,アキ・ローゼンタール,420,30,420 円,30 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10005,https://yuyu-tei.jp/buy/hocg/card/hbp01/10005,0,
hBP01-003,OUR,1,アキ・ローゼンタール(パラレル),6980,2200,"6,980 円","2,200 円",https://yuyu-tei.jp/sell/hocg/card/hbp01/10006,https://yuyu-tei.jp/buy/hocg/card/hbp01/10006,0,
hBP01-004,OSR,0,兎田ぺこら,1980,600,"1,980 円",600 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10007,https://yuyu-tei.jp/buy/hocg/card/hbp01/10007,0,
hBP01-004,OUR,1,兎田ぺこら(パラレル),39800,20000,"39,800 円","20,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp01/10008,https://yuyu-tei.jp/buy/hocg/card/hbp01/10008,0,
hBP01-005,OSR,0,鷹嶺ルイ,420,30,420 円,30 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10009,https://yuyu-tei.jp/buy/hocg/card/hbp01/10009,0,
hBP01-005,OUR,1,鷹嶺ルイ(パラレル),12800,10000,"12,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp01/10010,https://yuyu-tei.jp/buy/hocg/card/hbp01/10010,0,
hBP01-006,OSR,0,小鳥遊キアラ,420,30,420 円,30 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10011,https://yuyu-tei.jp/buy/hocg/card/hbp01/10011,0,
hBP01-006,OUR,1,小鳥遊キアラ(パラレル),5980,3000,"5,980 円","3,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp01/10012,https://yuyu-tei.jp/buy/hocg/card/hbp01/10012,0,
hBP01-006,SEC,1,小鳥遊キアラ(パラレル/サイン),24800,8000,"24,800 円","8,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp01/10013,https://yuyu-tei.jp/buy/hocg/card/hbp01/10013,0,
hBP01-007,OSR,0,星街すいせい,2980,1400,"2,980 円","1,400 円",https://yuyu-tei.jp/sell/hocg/card/hbp01/10014,https://yuyu-tei.jp/buy/hocg/card/hbp01/10014,0,
