card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP02-084,S,1,みっころね24(パラレル),2480,1000,"2,480 円","1,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10169,https://yuyu-tei.jp/buy/hocg/card/hbp02/10169,0,
hBP02-084,SEC,1,みっころね24(パラレル/箔押し),118000,50000,"118,000 円","50,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10170,https://yuyu-tei.jp/buy/hocg/card/hbp02/10170,0,
hBP02-084,SR,1,みっころね24(パラレル/hBP04),6980,3500,"6,980 円","3,500 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10217,https://yuyu-tei.jp/buy/hocg/card/hbp04/10217,0,
hBP02-084,U,0,みっころね24(hBP04),320,100,320 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10216,https://yuyu-tei.jp/buy/hocg/card/hbp02/10168,0,
hBP04-001,OSR,0,博衣こより,500,200,500 円,200 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10001,https://yuyu-tei.jp/buy/hocg/card/hbp04/10001,0,
hBP04-001,OUR,1,博衣こより(パラレル),14800,8000,"14,800 円","8,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10002,https://yuyu-tei.jp/buy/hocg/card/hbp04/10002,0,
hBP04-001,SEC,1,博衣こより(パラレル/サイン),79800,40000,"79,800 円","40,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10003,https://yuyu-tei.jp/buy/hocg/card/hbp04/10003,0,
hBP04-002,OSR,0,儒烏風亭らでん,1280,700,"1,280 円",700 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10004,https://yuyu-tei.jp/buy/hocg/card/hbp04/10004,0,
hBP04-002,OUR,1,儒烏風亭らでん(パラレル),34800,24000,"34,800 円","24,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10005,https://yuyu-tei.jp/buy/hocg/card/hbp04/10005,0,
hBP04-003,OSR,0,一条莉々華,320,100,320 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10006,https://yuyu-tei.jp/buy/hocg/card/hbp04/10006,0,
hBP04-003,OUR,1,一条莉々華(パラレル),14800,8000,"14,800 円","8,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10007,https://yuyu-tei.jp/buy/hocg/card/hbp04/10007,0,
hBP04-004,OSR,0,雪花ラミィ,680,350,680 円,350 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10008,https://yuyu-tei.jp/buy/hocg/card/hbp04/10008,0,
hBP04-004,OUR,1,雪花ラミィ(パラレル),17800,9000,"17,800 円","9,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10009,https://yuyu-tei.jp/buy/hocg/card/hbp04/10009,0,
hBP04-004,SEC,1,雪花ラミィ(パラレル/サイン),89800,45000,"89,800 円","45,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10010,https://yuyu-tei.jp/buy/hocg/card/hbp04/10010,0,
hBP04-005,OSR,0,ラプラス・ダークネス,580,250,580 円,250 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10011,https://yuyu-tei.jp/buy/hocg/card/hbp04/10011,0,
hBP04-005,OUR,1,ラプラス・ダークネス(パラレル),8980,7200,"8,980 円","7,200 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10012,https://yuyu-tei.jp/buy/hocg/card/hbp04/10012,0,
hBP04-005,SEC,1,ラプラス・ダークネス(パラレル/サイン),59800,42000,"59,800 円","42,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10013,https://yuyu-tei.jp/buy/hocg/card/hbp04/10013,0,
hBP04-006,OSR,0,大空スバル,500,250,500 円,250 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10014,https://yuyu-tei.jp/buy/hocg/card/hbp04/10014,0,
