card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP03-001,OSR,0,姫森ルーナ,500,150,500 円,150 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10001,https://yuyu-tei.jp/buy/hocg/card/hbp03/10001,0,
hBP03-001,OUR,1,姫森ルーナ(パラレル),12800,9000,"12,800 円","9,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10002,https://yuyu-tei.jp/buy/hocg/card/hbp03/10002,0,
hBP03-002,OSR,0,獅白ぼたん,420,100,420 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10003,https://yuyu-tei.jp/buy/hocg/card/hbp03/10003,0,
hBP03-002,OUR,1,獅白ぼたん(パラレル),12800,9000,"12,800 円","9,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10004,https://yuyu-tei.jp/buy/hocg/card/hbp03/10004,0,
hBP03-002,SEC,1,獅白ぼたん(パラレル/サイン),59800,48000,"59,800 円","48,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10005,https://yuyu-tei.jp/buy/hocg/card/hbp03/10005,0,
hBP03-003,OSR,0,さくらみこ,1780,800,"1,780 円",800 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10006,https://yuyu-tei.jp/buy/hocg/card/hbp03/10006,0,
hBP03-003,OUR,1,さくらみこ(パラレル),24800,20000,"24,800 円","20,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10007,https://yuyu-tei.jp/buy/hocg/card/hbp03/10007,0,
hBP03-003,SEC,1,さくらみこ(パラレル/サイン),128000,100000,"128,000 円","100,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10008,https://yuyu-tei.jp/buy/hocg/card/hbp03/10008,0,
hBP03-004,OSR,0,FUWAMOCO,780,300,780 円,300 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10009,https://yuyu-tei.jp/buy/hocg/card/hbp03/10009,0,
hBP03-004,OUR,1,FUWAMOCO(パラレル),19800,16000,"19,800 円","16,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10010,https://yuyu-tei.jp/buy/hocg/card/hbp03/10010,0,
hBP03-005,OSR,0,常闇トワ,680,300,680 円,300 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10011,https://yuyu-tei.jp/buy/hocg/card/hbp03/10011,0,
hBP03-005,OUR,1,常闇トワ(パラレル),14800,10000,"14,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10012,https://yuyu-tei.jp/buy/hocg/card/hbp03/10012,0,
hBP03-005,SEC,1,常闇トワ(パラレル/サイン),69800,35000,"69,800 円","35,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10013,https://yuyu-tei.jp/buy/hocg/card/hbp03/10013,0,
hBP03-006,OSR,0,戌神ころね,3980,2800,"3,980 円","2,800 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10014,https://yuyu-tei.jp/buy/hocg/card/hbp03/10014,0,
hBP03-006,OUR,1,戌神ころね(パラレル),34800,28000,"34,800 円","28,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10015,https://yuyu-tei.jp/buy/hocg/card/hbp03/10015,0,
hBP03-007,OSR,0,角巻わため,580,150,580 円,150 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10016,https://yuyu-tei.jp/buy/hocg/card/hbp03/10016,0,
hBP03-007,OUR,1,角巻わため(パラレル),12800,6000,"12,800 円","6,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10017,https://yuyu-tei.jp/buy/hocg/card/hbp03/10017,0,
hBP03-007,SEC,1,角巻わため(パラレル/サイン),69800,55000,"69,800 円","55,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10018,https://yuyu-tei.jp/buy/hocg/card/hbp03/10018,0,
hBP03-008,OSR,0,アユンダ・リス,320,20,320 円,20 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10019,https://yuyu-tei.jp/buy/hocg/card/hbp03/10019,0,
hBP03-008,OUR,1,アユンダ・リス(パラレル),5980,3000,"5,980 円","3,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp03/10020,https://yuyu-tei.jp/buy/hocg/card/hbp03/10020,0,
hBP03-009,C,0,姫森ルーナ,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hbp03/10021,,0,
hBP03-009,C,1,姫森ルーナ(パラレル/hBP06),50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hbp06/10221,,0,
hBP03-009,P,1,姫森ルーナ(パラレル/ベーシックPRパック vol.4),320,10,320 円,10 円,https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10067,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10067,0,
hBP03-010,S,1,姫森ルーナ(パラレル),420,200,420 円,200 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10023,https://yuyu-tei.jp/buy/hocg/card/hbp03/10023,0,
hBP03-010,U,0,姫森ルーナ,30,,30 円,,https://yuyu-tei.jp/sell/hocg/card/hbp03/10022,,0,
hBP03-011,C,0,姫森ルーナ,30,,30 円,,https://yuyu-tei.jp/sell/hocg/card/hbp03/10024,,0,
hBP03-011,S,1,姫森ルーナ(パラレル),320,100,320 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10025,https://yuyu-tei.jp/buy/hocg/card/hbp03/10025,0,
hBP03-012,S,1,姫森ルーナ(パラレル),320,150,320 円,150 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10027,https://yuyu-tei.jp/buy/hocg/card/hbp03/10027,0,
hBP03-012,U,0,姫森ルーナ,30,,30 円,,https://yuyu-tei.jp/sell/hocg/card/hbp03/10026,,0,
hBP03-013,R,0,姫森ルーナ,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hbp03/10028,,0,
hBP03-013,SR,1,姫森ルーナ(パラレル),680,300,680 円,300 円,https://yuyu-tei.jp/sell/hocg/card/hbp03/10029,https://yuyu-tei.jp/buy/hocg/card/hbp03/10029,0,
