card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP02-001,OSR,0,白上フブキ,1980,700,"1,980 円",700 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10001,https://yuyu-tei.jp/buy/hocg/card/hbp02/10001,0,
hBP02-001,OUR,1,白上フブキ(パラレル),34800,24000,"34,800 円","24,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10002,https://yuyu-tei.jp/buy/hocg/card/hbp02/10002,0,
hBP02-001,SEC,1,白上フブキ(パラレル/サイン),148000,120000,"148,000 円","120,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10003,https://yuyu-tei.jp/buy/hocg/card/hbp02/10003,0,
hBP02-002,OSR,0,パヴォリア・レイネ,280,30,280 円,30 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10004,https://yuyu-tei.jp/buy/hocg/card/hbp02/10004,0,
hBP02-002,OUR,1,パヴォリア・レイネ(パラレル),4980,2400,"4,980 円","2,400 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10005,https://yuyu-tei.jp/buy/hocg/card/hbp02/10005,0,
hBP02-003,OSR,0,宝鐘マリン(エラッタ前),1280,500,"1,280 円",500 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10006,https://yuyu-tei.jp/buy/hocg/card/hbp02/10006,0,
hBP02-003,OUR,1,宝鐘マリン(パラレル)(エラッタ前),17800,10000,"17,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10007,https://yuyu-tei.jp/buy/hocg/card/hbp02/10007,0,
hBP02-003,SEC,1,宝鐘マリン(パラレル/サイン)(エラッタ前),99800,70000,"99,800 円","70,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10008,https://yuyu-tei.jp/buy/hocg/card/hbp02/10008,0,
hBP02-004,OSR,0,沙花叉クロヱ,780,300,780 円,300 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10009,https://yuyu-tei.jp/buy/hocg/card/hbp02/10009,0,
hBP02-004,OUR,1,沙花叉クロヱ(パラレル),29800,20000,"29,800 円","20,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10010,https://yuyu-tei.jp/buy/hocg/card/hbp02/10010,0,
hBP02-004,SEC,1,沙花叉クロヱ(パラレル/サイン),118000,80000,"118,000 円","80,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10011,https://yuyu-tei.jp/buy/hocg/card/hbp02/10011,0,
hBP02-005,OSR,0,紫咲シオン,580,100,580 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10012,https://yuyu-tei.jp/buy/hocg/card/hbp02/10012,0,
hBP02-005,OUR,1,紫咲シオン(パラレル),29800,20000,"29,800 円","20,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10013,https://yuyu-tei.jp/buy/hocg/card/hbp02/10013,0,
hBP02-006,OSR,0,クレイジー・オリー,680,200,680 円,200 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10014,https://yuyu-tei.jp/buy/hocg/card/hbp02/10014,0,
