card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP01-108,P,1,じゃあ敵だね(パラレル/WGP2025 in 東京),4980,3500,"4,980 円","3,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10076,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10076,0,
hBP01-108,U,0,じゃあ敵だね,220,50,220 円,50 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10128,https://yuyu-tei.jp/buy/hocg/card/hbp01/10128,0,
hBP02-028,C,0,宝鐘マリン,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hbp02/10057,,0,
hBP02-028,P,1,宝鐘マリン(パラレル/1stアルバム数量限定版),19800,11000,"19,800 円","11,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10019,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10019,0,
hBP02-030,C,0,宝鐘マリン,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hbp02/10059,,0,
hBP02-030,S,1,宝鐘マリン(パラレル),780,250,780 円,250 円,https://yuyu-tei.jp/sell/hocg/card/hbp02/10060,https://yuyu-tei.jp/buy/hocg/card/hbp02/10060,0,
hBP02-032,P,1,宝鐘マリン(パラレル/ベーシックPRパック vol.7),24800,10000,"24,800 円","10,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10121,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10121,0,
hBP02-032,R,0,宝鐘マリン,120,,120 円,,https://yuyu-tei.jp/sell/hocg/card/hbp02/10063,,0,
hBP02-032,SR,1,宝鐘マリン(パラレル),2480,1200,"2,480 円","1,200 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10064,https://yuyu-tei.jp/buy/hocg/card/hbp02/10064,0,
hBP02-084,S,1,みっころね24(パラレル),2480,1000,"2,480 円","1,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10169,https://yuyu-tei.jp/buy/hocg/card/hbp02/10169,0,
hBP02-084,SEC,1,みっころね24(パラレル/箔押し),118000,50000,"118,000 円","50,000 円",https://yuyu-tei.jp/sell/hocg/card/hbp02/10170,https://yuyu-tei.jp/buy/hocg/card/hbp02/10170,0,
hBP02-084,SR,1,みっころね24(パラレル/hBP04),6980,3500,"6,980 円","3,500 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10217,https://yuyu-tei.jp/buy/hocg/card/hbp04/10217,0,
